time[ms],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[RH],accCalX[mg],accCalY[mg],accCalZ[mg],accBiasX[mg],accBiasY[mg],accBiasZ[mg],accGood,accGainX,accGainY,accGainZ,ElapsedTime[us],
45262490,-5,-31,1043,630,-3570,1540,1500,-58,-492,998.67,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262510,-5,-31,1041,560,-3570,1610,1497,-61,-481,998.67,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262520,-6,-31,1042,490,-3570,1610,1501,-48,-484,998.70,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262540,-5,-30,1042,630,-3570,1610,1494,-54,-483,998.70,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262560,-6,-30,1043,560,-3570,1540,1506,-49,-489,998.72,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262580,-5,-31,1043,630,-3570,1540,1509,-55,-486,998.72,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262600,-5,-31,1042,560,-3500,1610,1510,-57,-477,998.74,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262620,-5,-31,1042,630,-3570,1540,1497,-58,-486,998.74,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262640,-6,-31,1043,630,-3500,1610,1500,-61,-486,998.66,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262660,-5,-31,1042,560,-3570,1540,1501,-58,-489,998.66,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262670,-6,-30,1043,630,-3570,1610,1504,-60,-483,998.69,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262690,-6,-31,1042,630,-3570,1610,1495,-57,-489,998.69,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262710,-5,-30,1042,630,-3570,1610,1501,-63,-486,998.73,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262730,-6,-31,1042,560,-3570,1610,1503,-51,-490,998.73,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262750,-6,-31,1042,560,-3570,1540,1497,-60,-489,998.75,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262770,-6,-31,1042,560,-3500,1540,1503,-54,-489,998.75,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262790,-6,-31,1042,560,-3500,1610,1506,-52,-484,998.70,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262810,-6,-31,1042,560,-3500,1610,1495,-57,-480,998.70,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262830,-6,-31,1042,630,-3570,1610,1507,-57,-478,998.78,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262850,-5,-30,1042,560,-3570,1610,1503,-60,-478,998.78,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262860,-6,-30,1042,630,-3570,1610,1497,-58,-489,998.71,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262880,-6,-31,1042,630,-3570,1540,1504,-57,-486,998.71,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262900,-5,-30,1042,630,-3500,1540,1506,-54,-477,998.75,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262920,-5,-31,1042,630,-3570,1540,1500,-61,-486,998.75,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262940,-6,-31,1043,560,-3570,1610,1494,-54,-477,998.65,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262960,-5,-31,1042,560,-3500,1540,1503,-46,-475,998.65,20.8,71.3,,,,,,,,        ,        ,        ,1,
45262980,-5,-31,1042,560,-3640,1610,1503,-61,-486,998.66,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263000,-6,-30,1042,560,-3570,1610,1504,-54,-484,998.64,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263010,-6,-30,1042,560,-3570,1610,1494,-52,-484,998.64,20.8,71.3,,,,,,,,        ,        ,        ,672,
45263030,-5,-31,1042,560,-3570,1540,1501,-57,-486,998.71,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263050,-6,-31,1043,630,-3500,1540,1495,-51,-478,998.71,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263070,-6,-31,1043,630,-3570,1610,1498,-55,-490,998.68,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263090,-5,-31,1042,630,-3570,1610,1498,-60,-481,998.68,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263110,-6,-31,1042,560,-3570,1610,1501,-46,-481,998.63,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263130,-6,-31,1042,560,-3570,1610,1501,-55,-490,998.63,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263150,-5,-30,1042,560,-3500,1610,1500,-61,-483,998.67,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263170,-6,-30,1042,560,-3570,1610,1501,-52,-481,998.67,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263180,-5,-31,1042,560,-3570,1610,1497,-57,-487,998.65,20.8,71.3,,,,,,,,        ,        ,        ,1,
45263200,-6,-31,1042,630,-3570,1540,1498,-58,-484,998.65,20.7,71.3,,,,,,,,        ,        ,        ,1,
45263220,-6,-31,1042,630,-3570,1540,1503,-58,-483,998.71,20.7,71.3,,,,,,,,        ,        ,        ,1,
45263240,-6,-31,1042,630,-3570,1610,1507,-57,-492,998.71,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263260,-5,-31,1042,560,-3570,1610,1498,-61,-477,998.74,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263280,-5,-30,1042,630,-3570,1540,1500,-57,-481,998.74,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263300,-5,-31,1042,560,-3500,1610,1498,-52,-471,998.72,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263320,-6,-31,1042,630,-3570,1610,1500,-57,-475,998.72,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263330,-5,-31,1042,560,-3570,1610,1503,-55,-498,998.74,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263350,-6,-31,1041,560,-3570,1610,1501,-55,-478,998.74,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263370,-5,-31,1042,560,-3570,1610,1500,-58,-483,998.70,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263390,-6,-31,1042,630,-3570,1540,1498,-61,-484,998.70,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263410,-6,-31,1043,560,-3570,1610,1501,-61,-478,998.70,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263430,-5,-31,1042,630,-3570,1610,1495,-58,-489,998.70,20.7,71.2,,,,,,,,        ,        ,        ,1,
45263450,-5,-31,1042,630,-3500,1540,1495,-63,-489,998.70,20.7,71.2,,,,,,,,        ,        ,        ,1,
