#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
11,45699,21.9191,-0.157,-1.137,-0.752,0.008,-0.004,1.03,-24.6,-5.5,11.5,
10000,45709,21.9191,-0.14,-1.155,-0.77,0.008,-0.003,1.029,-23.8,-6.6,10.5,
20002,45719,21.9191,-0.192,-1.225,-0.805,0.01,-0.001,1.03,-23.7,-6.1,10.6,
30000,45729,21.9191,-0.175,-1.155,-0.84,0.01,0,1.03,-23.4,-6.6,10.8,
40004,45739,21.9191,-0.245,-1.19,-0.822,0.011,0,1.03,-24.3,-5.8,11.2,
50001,45749,21.9383,-0.175,-1.137,-0.805,0.01,0,1.029,-24.6,-5.5,11.2,
60002,45759,21.9383,-0.192,-1.19,-0.84,0.009,-0.001,1.029,-23.7,-5.1,10.3,
70001,45769,21.9383,-0.21,-1.207,-0.84,0.008,-0.001,1.029,-24.3,-6.1,10.3,
80004,45779,21.9383,-0.175,-1.207,-0.857,0.009,-0.001,1.029,-25.2,-6.3,11.2,
90000,45789,21.9383,-0.157,-1.137,-0.84,0.009,-0.002,1.03,-24.1,-6.3,10.8,
100003,45799,21.9383,-0.175,-1.155,-0.857,0.008,-0.003,1.029,-24.4,-5.8,10.9,
110001,45809,21.9383,-0.21,-1.172,-0.805,0.009,-0.003,1.03,-24,-6.4,10.2,
120004,45819,21.9383,-0.245,-1.19,-0.857,0.007,-0.004,1.03,-24.3,-6.4,9.6,
130001,45829,21.9191,-0.21,-1.172,-0.857,0.008,-0.005,1.028,-24.7,-5.7,12,
140003,45839,21.9191,-0.192,-1.19,-0.857,0.006,-0.004,1.03,-23.4,-5.7,10.8,
150001,45849,21.9191,-0.14,-1.155,-0.822,0.006,-0.004,1.029,-23.7,-5.5,10.3,
160004,45859,21.9191,-0.175,-1.172,-0.84,0.007,-0.004,1.029,-23.5,-6,9.6,
170001,45869,21.9191,-0.175,-1.19,-0.822,0.009,-0.003,1.03,-24.7,-5.4,11.2,
180002,45879,21.9191,-0.21,-1.19,-0.805,0.009,-0.001,1.029,-23.5,-6.1,10.2,
190001,45889,21.9191,-0.175,-1.225,-0.822,0.01,-0.001,1.029,-24.1,-5.5,10.6,
200004,45899,21.9191,-0.227,-1.19,-0.805,0.009,-0.001,1.029,-24.9,-5.8,9.4,
210001,45909,21.9191,-0.192,-1.155,-0.805,0.01,-0.001,1.029,-24.3,-6.3,10.2,
220002,45919,21.9191,-0.192,-1.207,-0.84,0.009,-0.001,1.029,-23.5,-5.4,10.6,
230000,45929,21.9191,-0.175,-1.172,-0.84,0.009,-0.001,1.029,-23.8,-6.6,10.3,
240004,45939,21.9191,-0.157,-1.137,-0.857,0.008,-0.001,1.029,-23.4,-6.3,11.1,
250002,45949,21.9191,-0.21,-1.242,-0.84,0.009,-0.002,1.029,-23.7,-5.7,10.3,
260002,45959,21.9191,-0.21,-1.207,-0.84,0.008,-0.003,1.03,-24.4,-6.4,10.6,
270000,45969,21.9191,-0.192,-1.155,-0.84,0.007,-0.002,1.029,-23.8,-6.1,10.5,
280004,45979,21.9191,-0.227,-1.155,-0.822,0.007,-0.003,1.028,-23.8,-5.7,11.1,
290001,45989,21.9191,-0.192,-1.155,-0.84,0.008,-0.003,1.03,-24,-5.2,10.3,
300003,45999,21.9575,-0.157,-1.172,-0.84,0.008,-0.004,1.03,-25,-6,10.3,
310000,46009,21.9575,-0.192,-1.19,-0.84,0.008,-0.004,1.03,-24.9,-6.3,10.6,
320004,46019,21.9575,-0.157,-1.155,-0.805,0.009,-0.004,1.029,-24.9,-6,10,
330000,46029,21.9575,-0.175,-1.12,-0.822,0.009,-0.004,1.029,-24,-6.1,10.9,
340002,46039,21.9575,-0.21,-1.225,-0.787,0.01,-0.003,1.029,-24.4,-6.3,11.7,
350001,46049,21.9575,-0.227,-1.207,-0.77,0.008,-0.002,1.029,-24.3,-6.6,11.1,
360004,46059,21.9575,-0.21,-1.155,-0.787,0.008,-0.001,1.029,-23.4,-6,10.2,
370000,46069,21.9575,-0.227,-1.19,-0.822,0.008,-0.002,1.029,-24.1,-6.7,11.2,
380003,46079,21.8999,-0.21,-1.172,-0.822,0.009,-0.001,1.028,-24.9,-5.8,11.4,
390001,46089,21.8999,-0.157,-1.19,-0.805,0.008,0,1.029,-25,-5.8,10.6,
400004,46099,21.8999,-0.28,-1.19,-0.805,0.008,-0.002,1.028,-23.8,-5.8,11.4,
410001,46109,21.8999,-0.262,-1.207,-0.84,0.008,-0.002,1.029,-24.6,-6,10.5,
420002,46119,21.8999,-0.157,-1.207,-0.822,0.008,-0.004,1.029,-24.1,-6.4,10.5,
430001,46129,21.8999,-0.105,-1.137,-0.822,0.008,-0.004,1.03,-24.7,-6.7,10.5,
440004,46139,21.8999,-0.14,-1.172,-0.822,0.009,-0.003,1.03,-24.4,-5.7,10.8,
450001,46149,21.8999,-0.192,-1.19,-0.822,0.009,-0.002,1.028,-24.4,-6.1,10.2,
460002,46159,21.9383,-0.192,-1.172,-0.822,0.01,-0.002,1.029,-24.6,-5.4,11.2,
470000,46169,21.9383,-0.21,-1.137,-0.84,0.009,-0.003,1.028,-24.1,-5.4,10.3,
480004,46179,21.9383,-0.175,-1.137,-0.822,0.01,-0.002,1.029,-23.8,-5.4,10.2,
490001,46189,21.9383,-0.14,-1.207,-0.787,0.007,-0.002,1.029,-24.7,-6,10.2,
500004,46199,21.9383,-0.175,-1.19,-0.787,0.006,-0.003,1.03,-23.8,-6.3,10.9,
510001,46209,21.9383,-0.07,-1.155,-0.787,0.006,-0.002,1.029,-24.7,-5.4,10.8,
520004,46219,21.9383,-0.07,-1.19,-0.787,0.007,-0.003,1.029,-24.1,-6.4,10.9,
530000,46229,21.9383,-0.157,-1.12,-0.77,0.009,-0.002,1.029,-23.7,-6.6,11.4,
540003,46239,21.9575,-0.175,-1.12,-0.787,0.009,-0.002,1.029,-23.8,-6.4,10.9,
550001,46249,21.9575,-0.157,-1.12,-0.787,0.009,-0.002,1.029,-25,-6.7,10.9,
560004,46259,21.9575,-0.21,-1.155,-0.822,0.01,-0.002,1.029,-23.5,-6,10.8,
570001,46269,21.9575,-0.175,-1.155,-0.822,0.009,-0.002,1.028,-24.1,-6.1,10.8,
580002,46279,21.9575,-0.192,-1.172,-0.84,0.009,-0.002,1.029,-23.7,-5.5,11.5,
590001,46289,21.9575,-0.192,-1.172,-0.822,0.008,-0.002,1.028,-24.3,-6.7,10.5,
600004,46299,21.9575,-0.245,-1.207,-0.822,0.009,-0.003,1.03,-24.1,-6.3,10.3,
610001,46309,21.9575,-0.28,-1.242,-0.787,0.008,-0.003,1.03,-24.1,-6.3,10.9,
620002,46319,21.9575,-0.28,-1.207,-0.787,0.008,-0.003,1.029,-24.1,-6.3,10.6,
630001,46329,21.9959,-0.21,-1.172,-0.857,0.009,-0.002,1.03,-24.6,-6.6,10.9,
640004,46339,21.9959,-0.175,-1.19,-0.84,0.008,-0.002,1.029,-24.6,-6.1,11.1,
650000,46349,21.9959,-0.175,-1.172,-0.822,0.008,-0.002,1.028,-24.1,-6.4,11.5,
660003,46359,21.9959,-0.175,-1.155,-0.822,0.01,-0.001,1.029,-24.1,-4.9,10.8,
670001,46369,21.9959,-0.122,-1.155,-0.822,0.009,-0.004,1.028,-23.7,-6,10.5,
680004,46379,21.9959,-0.105,-1.172,-0.787,0.007,-0.004,1.029,-25,-6.3,10.2,
690001,46389,21.9959,-0.192,-1.137,-0.822,0.006,-0.003,1.028,-24.3,-5.2,11.1,
