#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
2704,177683,24.7805,-0.63,-1.872,-2.047,-0.005,-0.025,1.028,-27.9,-2.1,11.8,
12702,177693,24.7805,-0.647,-1.872,-1.977,-0.004,-0.028,1.024,-27.3,-2.2,12,
22705,177703,24.7805,-0.42,-1.33,-2.362,-0.002,-0.034,1.022,-26.7,-1.9,11.5,
32702,177713,24.7805,-0.052,-0.822,-2.87,0,-0.033,1.022,-27.9,-3.1,12.1,
42703,177723,24.7805,0.367,-0.525,-3.202,-0.002,-0.03,1.021,-27.7,-1.9,12.4,
52702,177733,24.7805,0.735,-0.07,-2.992,-0.001,-0.028,1.018,-26.8,-1.6,12.6,
62705,177743,24.7805,1.12,0.752,-2.135,0,-0.034,1.017,-27.7,-2.8,12.6,
72702,177753,24.7805,1.172,1.225,-0.84,-0.006,-0.03,1.022,-28.2,-1.5,12.9,
82704,177763,24.7229,0.525,0.507,-0.892,0,-0.034,1.028,-28.8,-2.8,12.3,
92704,177773,24.7229,-0.192,-0.262,-1.82,0.003,-0.039,1.021,-28.5,-1.5,12.1,
102705,177783,24.7229,0.227,-0.892,-2.59,0.008,-0.036,1.015,-27.9,-2.7,12.1,
112702,177793,24.7229,0.21,-0.857,-2.992,0.004,-0.028,1.017,-27.4,-2.1,12.4,
122704,177803,24.7229,-0.507,-0.367,-3.692,0,-0.017,1.021,-28,-2.4,12,
132702,177813,24.7229,-1.47,0,-3.92,0,-0.015,1.031,-27.4,-2.5,11.8,
142705,177823,24.7229,-2.1,0.192,-3.85,-0.004,-0.01,1.035,-28.3,-2.4,11.8,
152702,177833,24.7229,-1.487,0.525,-3.465,-0.007,-0.01,1.034,-28,-2.4,12.7,
162704,177843,24.7613,-1.522,0.595,-2.905,-0.013,-0.009,1.035,-28,-1.8,12.4,
172702,177853,24.7613,-3.552,0.787,-3.272,-0.018,-0.015,1.037,-27.1,-2.4,12.3,
182705,177863,24.7613,-3.097,1.33,-2.17,-0.022,-0.021,1.031,-27.7,-2.4,12.9,
192702,177873,24.7613,-3.097,1.33,-2.17,-0.022,-0.021,1.031,-27,-1.2,12.7,
202703,177883,24.7613,0.052,1.015,-0.735,-0.026,-0.018,1.041,-27.9,-2.4,11.4,
212702,177893,24.7613,1.085,0.262,0.49,-0.023,-0.02,1.046,-27.3,-2.7,12.6,
222706,177903,24.7613,0.77,-0.84,0.262,-0.018,-0.03,1.041,-28,-1.9,12.6,
232702,177913,24.7613,0.98,-1.785,-0.525,-0.016,-0.035,1.036,-28.5,-2.8,12.6,
242704,177923,24.7805,1.33,-2.152,-1.592,-0.012,-0.039,1.029,-27.9,-1.8,11.5,
252702,177933,24.7805,1.942,-2.222,-2.135,-0.006,-0.042,1.024,-27.1,-2.1,12.1,
262705,177943,24.7805,2.87,-1.645,-2.362,-0.008,-0.05,1.021,-27.9,-2.7,12.3,
272702,177953,24.7805,4.55,-0.455,-3.167,-0.001,-0.059,1.023,-28.2,-1.5,11.8,
282703,177963,24.7805,5.617,0.577,-4.427,-0.021,-0.054,1.036,-27.1,-2.7,11.1,
292702,177973,24.7805,5.162,2.012,-11.707,-0.006,-0.101,1.017,-27.9,-2.2,11.8,
302705,177983,24.7805,7.91,5.285,-15.12,0.017,-0.081,0.977,-28.5,-2.2,13.3,
312702,177993,24.7805,11.182,6.055,-11.69,-0.02,-0.032,1.008,-27.9,-2.7,12.6,
322704,178003,24.7421,7.997,3.657,-11.41,-0.022,-0.021,1.031,-28,-1.6,12.4,
332702,178013,24.7421,3.482,4.497,-12.985,0,-0.046,0.991,-28.6,-2.7,12.3,
342706,178023,24.7421,7.35,5.355,-11.672,-0.019,-0.035,0.989,-27.9,-1.5,12.9,
352702,178033,24.7421,9.205,5.74,-10.85,-0.023,-0.003,1.017,-28.3,-1.6,12.3,
362704,178043,24.7421,3.78,4.987,-10.167,-0.026,-0.001,1.024,-29.1,-1.8,11.5,
372702,178053,24.7421,0.49,4.427,-9.747,-0.024,-0.005,1.016,-27.9,-1.5,13.6,
382705,178063,24.7421,1.715,4.357,-9.73,-0.023,0.002,1.034,-28.2,-1,12.7,
392702,178073,24.7421,3.955,3.92,-9.117,-0.027,0.011,1.033,-26.8,-1.2,13,
402704,178083,24.7997,4.637,2.257,-9.695,-0.044,0.011,1.051,-27.7,-1.2,12.6,
412702,178093,24.7997,0.805,-2.887,-11.655,-0.048,0.006,1.072,-28.2,-1,12.6,
422706,178103,24.7997,-3.937,-6.335,-13.632,-0.039,0.004,1.063,-27.9,-0.4,12.1,
432702,178113,24.7997,-5.88,-7.315,-14.227,-0.02,0,1.045,-27.9,-1.9,12.3,
442704,178123,24.7997,-7.7,-9.607,-12.372,-0.02,-0.011,1.06,-27.7,-1.9,13.2,
452702,178133,24.7997,-6.405,-10.29,-10.587,-0.021,0.002,1.059,-27.6,-2.7,12.7,
462705,178143,24.7997,-5.932,-11.2,-8.382,-0.028,-0.003,1.07,-27.7,-0.9,12.9,
472702,178153,24.7997,-5.792,-11.497,-7.035,-0.032,-0.019,1.071,-28.2,-2.1,12.4,
482704,178163,24.7997,-5.337,-13.3,-6.912,-0.012,-0.023,1.068,-27.7,-2.1,12.4,
492702,178173,24.7805,-2.485,-12.74,-6.212,-0.008,-0.029,1.037,-26.8,-2.4,12.7,
502705,178183,24.7805,3.307,-9.625,-4.2,-0.015,-0.03,1.018,-27.3,-2.7,13.9,
512702,178193,24.7805,6.65,-7.385,-2.187,-0.005,-0.023,1.021,-28.2,-2.2,13,
522703,178203,24.7805,5.932,-6.247,-1.05,-0.005,-0.011,1.02,-27.9,-2.7,13.2,
532702,178213,24.7805,4.672,-5.215,-0.682,0,-0.003,1.018,-27.3,-2.5,12.3,
542705,178223,24.7805,2.012,-4.777,-0.437,0,0.012,1.03,-27.7,-2.4,12.3,
552702,178233,24.7805,-2.205,-4.567,-1.242,-0.002,0.019,1.029,-27.3,-2.1,12.7,
562704,178243,24.7805,-4.182,-3.972,-1.977,-0.004,0.006,1.026,-27.1,-3.6,12.3,
572702,178253,24.7997,-2.66,-3.482,-2.642,-0.003,0.001,1.031,-28.5,-3.6,13.2,
