#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
11,42405,22.4952,2.38,1.05,1.312,0.058,-0.019,1.026,-23.2,-4.6,11.2,
10001,42415,22.4952,2.397,1.207,0.735,-0.013,0.014,1.031,-24.4,-4,11.1,
20003,42425,22.4952,1.225,0.262,-1.767,-0.021,0.006,1.028,-24.1,-4.2,11.1,
30001,42435,22.4952,0.192,-0.717,-2.415,0.025,0.009,1.029,-24.6,-4.3,11.2,
40004,42445,22.4952,-0.787,-1.575,-3.08,-0.017,-0.003,1.026,-23.4,-5.1,10.9,
50001,42455,22.4952,-2.1,-2.8,-2.572,0.004,0.005,1.029,-24.9,-3.9,10.8,
60003,42465,22.4952,-3.185,-3.85,-2.152,-0.013,-0.017,1.027,-24.1,-5.2,10.6,
70001,42475,22.4952,-3.745,-4.427,-1.207,0,-0.014,1.029,-23.1,-4.9,12,
80004,42485,22.4952,-3.745,-4.515,-0.752,0.012,-0.01,1.026,-24.1,-5.1,11.1,
90001,42495,22.4952,-2.45,-3.395,-0.787,0.017,-0.01,1.027,-24.1,-4.8,10.5,
100003,42505,22.4952,-0.595,-1.767,-0.805,0.016,-0.008,1.028,-24.1,-4.9,10.8,
110001,42515,22.4952,0.245,-0.997,-0.84,0.015,-0.006,1.027,-24.1,-4.9,10.6,
120004,42525,22.4952,0.472,-0.77,-0.84,0.015,-0.007,1.028,-24.4,-4.9,10.5,
130001,42535,22.4952,0.752,-0.385,-0.805,0.013,-0.006,1.03,-23.8,-5.2,10,
140002,42545,22.4952,0.647,-0.42,-0.735,0.01,-0.004,1.028,-23.1,-4.5,10.2,
150001,42555,22.4952,0.157,-0.805,-0.805,0.012,-0.005,1.029,-24.3,-4.8,11.2,
160004,42565,22.4952,0.245,-0.647,-0.84,0.01,-0.005,1.028,-24.1,-5.1,10.3,
170001,42575,22.4952,0.157,-0.665,-0.84,0.008,-0.002,1.028,-23.4,-4,10.3,
180002,42585,22.4952,-0.63,-1.452,-0.822,0.006,-0.002,1.029,-23.4,-4.9,10.2,
190001,42595,22.4952,-1.4,-2.24,-0.787,0.008,-0.004,1.027,-24.4,-4.6,11.1,
200004,42605,22.4952,-1.522,-2.38,-0.752,0.01,-0.006,1.026,-24,-4.8,10.9,
210001,42615,22.4952,-0.682,-1.662,1.05,0.003,0.005,1.028,-23.2,-5.1,10.8,
220002,42625,22.4952,-0.35,-1.435,5.197,0.018,-0.013,1.028,-23.5,-3.9,10.6,
230001,42635,22.4952,-0.647,-1.715,1.96,0.014,-0.006,1.026,-23.8,-4.8,10.6,
240004,42645,22.476,-0.595,-1.732,1.557,0.01,-0.001,1.029,-24.3,-4.9,11.2,
250003,42655,22.476,-0.735,-1.89,3.5,0.011,-0.005,1.029,-24.4,-4.5,10.2,
260003,42665,22.476,-1.575,-2.607,3.237,0.013,-0.007,1.028,-23.2,-5.1,10.8,
270001,42675,22.476,-1.802,-2.8,2.905,0.012,-0.007,1.029,-24.3,-4.5,11.4,
280004,42685,22.476,-1.942,-2.835,2.257,0.015,-0.009,1.028,-24.1,-4.3,10,
290001,42695,22.476,-1.61,-2.467,1.12,0.018,-0.011,1.027,-24.4,-3.4,10.3,
300003,42705,22.476,-0.63,-1.505,-0.35,0.016,-0.009,1.029,-24.4,-4.9,11.4,
310001,42715,22.476,0.14,-0.7,-0.927,0.016,-0.006,1.028,-24.1,-5.2,9.9,
320004,42725,22.476,0.7,-0.227,-0.962,0.016,-0.005,1.026,-23.7,-4.5,10.6,
330001,42735,22.476,1.155,0.157,-0.962,0.014,-0.007,1.028,-24.1,-4.8,9.7,
340002,42745,22.476,1.365,0.315,-0.927,0.012,-0.009,1.028,-24.6,-4.5,10.2,
350001,42755,22.476,1.435,0.35,-0.98,0.012,-0.009,1.029,-23.4,-4.6,10.2,
360004,42765,22.476,1.312,0.28,-0.962,0.009,-0.009,1.028,-24,-4.5,10.6,
