#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
5626,1042815,24.3964,-0.175,-1.12,-0.717,0.004,-0.009,1.025,-15,-26.8,9.3,
15626,1042825,24.3964,-0.157,-1.137,-0.717,0.003,-0.008,1.026,-14.1,-26.1,9.3,
25626,1042835,24.3964,-0.21,-1.172,-0.7,0.004,-0.009,1.026,-14.1,-26.5,10.5,
35626,1042845,24.3964,-0.227,-1.19,-0.77,0.002,-0.009,1.026,-13.6,-25.9,10.2,
45626,1042855,24.3964,-0.245,-1.19,-0.735,0.002,-0.01,1.026,-14.5,-26.8,10.5,
55626,1042865,24.3964,-0.157,-1.172,-0.682,0.003,-0.009,1.026,-14.2,-27,9.7,
65626,1042875,24.3964,-0.28,-1.172,-0.752,0.003,-0.009,1.026,-14.5,-26.5,10.3,
75626,1042885,24.3964,-0.227,-1.155,-0.717,0.003,-0.009,1.026,-14.5,-25.9,9.7,
85626,1042895,24.358,-0.175,-1.102,-0.7,0.003,-0.008,1.027,-14.4,-26.2,9.9,
95626,1042905,24.358,-0.175,-1.137,-0.735,0.004,-0.009,1.026,-14.7,-26.1,9.3,
105626,1042915,24.358,-0.21,-1.137,-0.7,0.004,-0.009,1.026,-13.5,-26.1,8.7,
115626,1042925,24.358,-0.21,-1.102,-0.752,0.004,-0.009,1.026,-13.6,-26.2,9.6,
125626,1042935,24.358,-0.245,-1.155,-0.735,0.003,-0.01,1.026,-13.9,-25.8,9,
135626,1042945,24.358,-0.227,-1.172,-0.752,0.003,-0.009,1.026,-14.2,-26.5,9,
145626,1042955,24.358,-0.227,-1.155,-0.717,0.004,-0.008,1.026,-14.8,-26.4,10.3,
155626,1042965,24.358,-0.227,-1.172,-0.735,0.004,-0.008,1.026,-14.2,-25.8,9.4,
165626,1042975,24.358,-0.28,-1.137,-0.735,0.003,-0.009,1.026,-15.3,-26.5,9.4,
175626,1042985,24.3772,-0.245,-1.137,-0.717,0.003,-0.009,1.026,-13.6,-26.7,9.1,
185626,1042995,24.3772,-0.227,-1.102,-0.7,0.003,-0.008,1.026,-13.9,-26.1,8.7,
195626,1043005,24.3772,-0.175,-1.155,-0.77,0.004,-0.008,1.025,-14.4,-26.7,10.2,
205626,1043015,24.3772,-0.227,-1.155,-0.752,0.004,-0.009,1.025,-13.9,-27.9,9.9,
215626,1043025,24.3772,-0.262,-1.12,-0.717,0.004,-0.009,1.026,-13.8,-27,10.6,
225626,1043035,24.3772,-0.227,-1.137,-0.7,0.003,-0.008,1.026,-13.6,-25.9,9.1,
235626,1043045,24.3772,-0.227,-1.155,-0.735,0.003,-0.009,1.026,-13.9,-26.8,9.3,
245626,1043055,24.3772,-0.227,-1.155,-0.787,0.004,-0.009,1.027,-13.8,-26.7,9.9,
255626,1043065,24.3964,-0.245,-1.172,-0.752,0.004,-0.008,1.026,-13.8,-26.8,9.6,
